'Day fraction since midnight on' 	'photometer (mg/L)'	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.590000033	2.756038666	113972.3828	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590011598	2.755963326	113972.3828	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590023193	2.756022215	113969.5156	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590034752	2.755764484	113969.5156	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590046331	2.756227016	113969.5156	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590057902	2.756065846	113969.5156	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590069475	2.756531954	113969.5156	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590081054	2.758265734	113967.4063	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590092625	2.758980751	113967.4063	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590104202	2.756756306	113967.4063	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590115777	2.758229256	113967.4063	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590127348	2.757884979	113967.4063	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590138925	2.760473251	113973.9922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590150477	2.760657549	113973.9922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590162061	2.761075497	113973.9922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590173643	2.764768601	113973.9922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59018521	2.766181231	113973.9922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590196781	2.768056631	113983.5234	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590208357	2.767678976	113983.5234	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590219918	2.76913476	113983.5234	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590231513	2.766915798	113983.5234	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590243068	2.768743277	113983.5234	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590254661	2.771493912	113964.8906	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590266214	2.77807188	113964.8906	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590277808	2.781032324	113964.8906	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590289358	2.785989523	113964.8906	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59030093	2.781640768	113964.8906	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59031251	2.802299976	113970.6641	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590324082	2.799432039	113970.6641	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59033566	2.804548025	113970.6641	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59034725	2.808691263	113970.6641	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590358803	2.817139626	113970.6641	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590370384	2.834543705	113969.5156	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590381963	2.882301807	113969.5156	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590393531	2.912065029	113969.5156	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590405093	2.94867897	113969.5156	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590416669	2.933175802	113969.5156	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590428261	3.002099514	113965.4609	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590439814	2.993587494	113965.4609	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590451387	3.025492668	113965.4609	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590462969	3.015823603	113965.4609	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59047454	3.072722673	113965.4609	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590486111	3.045761347	113955.25	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590497678	3.041783094	113955.25	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590509268	3.002738714	113955.25	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590520841	3.057344198	113955.25	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590532413	3.007582426	113955.25	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59054399	3.048969507	113962.6484	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590555563	2.981027842	113962.6484	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
