Day fraction since midnight on 	photometer (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.486405983	7.725183964	113557.3906	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486417671	7.723865032	113557.3906	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486429131	7.721590996	113535.7734	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486440822	7.721707821	113535.7734	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486452287	7.720177651	113535.7734	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486463955	7.719242573	113535.7734	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486475434	7.718186855	113535.7734	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486486992	10.51778221	113530.9297	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486498686	4.233877182	113530.9297	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486510145	2.678507328	113530.9297	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.48652171	2.674064398	113530.9297	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486533408	2.672834635	113530.9297	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486544877	2.670058489	113535.2656	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486556545	2.669138432	113535.2656	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486568018	2.668233633	113535.2656	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486579691	2.667613745	113535.2656	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486591262	2.665071249	113535.2656	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486602841	2.664560795	113530.9922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486614426	2.663642645	113530.9922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.48662589	2.663436651	113530.9922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486637444	2.662867069	113530.9922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486649015	2.662317038	113530.9922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486660707	2.661550283	113509.8672	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486672163	2.661203623	113509.8672	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486683751	2.660042763	113509.8672	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.48669533	2.659892082	113509.8672	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486707014	2.659577847	113509.8672	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486718575	2.659298897	113514.6797	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486730161	2.659254313	113514.6797	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486741742	2.659124613	113514.6797	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486753308	2.658926249	113514.6797	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486764889	2.658822775	113514.6797	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486776461	2.658692837	113518.1406	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486787912	2.658574343	113518.1406	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.486799601	2.658471584	113518.1406	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
